number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-727487,"Диагностическое учреждение ""Гомельская областная ветеринарная лаборатория""",закупка электропечи лабораторной для областной лаборатории,0,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727487,,
2019-727484,"Диагностическое учреждение ""Гомельская областная ветеринарная лаборатория""",Расходные материалы и реагенты для химико-токсикологического отдела,0,2019-07-06,BLR,http://www.icetrade.by/tenders/all/view/727484,,
2019-727483,Национальный банк Республики Беларусь,Закупка оборудования QR-кодирования,0,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727483,,
2019-727482,БГЭУ,Бланк пропуска для общежития,5 000,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727482,,
2019-727481,"РУП ""Производственное объединение ""Белоруснефть""",Выполнение работ по электрохимической защите и пусконаладочных работ на объекте «Реконструкция газопровода от Осташковичского месторождения до БГПЗ. 5-я очередь строительства»,29 885.90,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727481,,
2019-727480,"УП ""БЕЛМЕДТЕХНИКА""",БелМТ №057/19-ПЭА «Аппараты ультразвуковые (УЗИ)» лот 3,0,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/727480,,
2019-727479,"ООО ""Телекомсвязьстрой""",Закупка системы видеонаблюдения,15 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727479,,
2019-727478,"Исправительное учреждение ""ИК № 8"" управления ДИН МВД по Витебской области",Закупка  капусты белокочанной свежей зимних сортов урожая 2019 года,10 800,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727478,,
2019-727477,"ООО ""ВдМУ""",Поставка труб для изготовления временных трубопроводов здания турбинного отделения (10UMA) энергоблока №1 Белорусской АЭС,5 790 769.63,2019-07-08,RUS,http://www.icetrade.by/tenders/all/view/727477,,
2019-727476,ИК №17 управления ДИН МВД по Могилевской области,Закупка стомотологической установки с верхней подачей инструмента,10 500,2019-07-07,BLR,http://www.icetrade.by/tenders/all/view/727476,,
2019-727475,в/ч 01266,Текущий ремонт комнаты досуга и информирования 1-го этажа здания инв. № 207/19 - казарма,7 000,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727475,,
2019-727474,"Исправительное учреждение ""ИК № 8"" управления ДИН МВД по Витебской области",Закупка  картофеля свежего урожая 2019 года,46 980,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727474,,
2019-727473,БГЭУ,"Текущий ремонт учебных корпусов №№ 2, 6, 7, общежития № 7: замена окон на ПВХ",33 282.21,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727473,,
2019-727472,"ОАО ""Беларуськалий""",Исследование конъюнктуры рынка на предмет выполнения работ по ремонту якоря генератора постоянного тока,0,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/727472,,
2019-727471,"Учреждение ""Брестская областная ветеринарная лаборатория""",Автомобиль легковой,0,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727471,,
2019-727470,Республиканский отряд специального назначения,закупка масел моторных,0,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/727470,,
2019-727469,"УП ""Барановичское отделение Белорусской железной дороги"" ОМТС",светильники светодиодные,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727469,,
2019-727468,"Отдел образования, спорта и туризма администрации Ленинского района г.Гродно",Закупка детской мебели (тумба-кровати 4-х ярусные цветные) для учреждений дошкольного образования Ленинского района г. Гродно,20 160,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/727468,,
2019-727467,Управление по образованию Бобруйского горисполкома,Спецавтомобиль,78 000,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727467,,
2019-727466,Глубокский районный исполнительный комитет,"Закупка оборудования для  образовательного мультимедийного класса, 13 видеоконференц-комнат в сельских советах Глубокского района, для Офиса поддержки старт-ап проектов и Офиса службы продвижения бизнеса малых и средних предпринимателей",80 000,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727466,,
2019-727465,УП ЖКХ,"выбор поставщика на изготовление изделий кованных: скамья, дерево, арка, беседка, качели, мостик с замком, скамья знакомств с фонарями",10 400,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727465,,
2019-727464,СДЮШОР ПО ВОДНЫМ ВИДАМ СПОРТА,Текущий ремонт пирса для спортивных судов (академическая гребля),8 150,2019-07-06,BLR,http://www.icetrade.by/tenders/all/view/727464,,
2019-727463,"Государственное предприятие ""УКС Калинковичского района""",выбор подрядной организации для выполнения работ по объектам,66 212,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/727463,,
2019-727462,"РУП ""БЕЛФАРМАЦИЯ""",19/19-1 Иммуноглобулины (Паливизумаб),129 792.37,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727462,,
2019-727461,Республиканский центр аналитического контроля в области охраны окружающей среды,закупка офисной техники (многофункциональные устройства и принтеры),35 000,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727461,,
2019-727460,"Государственное предприятие ""Жилищное коммунальное хозяйство №1 Фрунзенского района г. Минска""","Выполнение работ по обследованию и выдаче технического заключения о состоянии козырьков жилых домов №18/1, 22/1, 36/1 по ул. Одинцова в г. Минске",7 500,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727460,,
2019-727459,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №445/19 Полотенца,0,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/727459,,
2019-727458,"Государственное предприятие ""УКС Борисовского района""",выбор поставщика школьной мебели для комплектации объекта «Средняя школа в микрорайоне № 6 г. Борисова»,56 508.95,2019-07-29,BLR,http://www.icetrade.by/tenders/all/view/727458,,
2019-727457,БГЭУ,Комплект столов лабораторных (17 шт.),0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727457,,
2019-727456,"Государственное предприятие ""ВПКиТС""",Насосы для перекачки жидкостей,300,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727456,,
2019-727455,в/ч 5448,"Ремонт и полное техническое обслуживание двух кранов стреловых автомобильных КС 3579 заводской №0320, заводской №004",0,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727455,,
2019-727454,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Гомель",141/19-ПЭА «Станок для обработки очковых линз для собственных нужд РДТУП «Медтехника» г. Гомель»,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727454,,
2019-727453,"ОАО ""Стройтрест №7""","Закупка №205 - Молниезащита, коробка монтажная, кабель, труба ПВХ, секция желоба, кабель АВВГнг",7 862.08,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727453,,
2019-727452,"УП ""УКС МИНГОРИСПОЛКОМА""","закупка технологического оборудования (электротеплового) для объекта строительства «Реконструкция с капитальным ремонтом комплекса зданий УО «Специализированный лицей МВД РБ по адресу ул. Стахановская,13»",0,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/727452,,
2019-727451,"Государственное предприятие ""ВПКиТС""",Смеси асфальтовые для дорожных покрытий,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727451,,
2019-727450,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Гомель",МТ 162/19-ПЭА «Реагенты и расходные материалы для иммунофенотипированния методом лазерной проточной цитофлюорометрии для «РНПЦ РМ и ЭЧ»,0,2019-08-12,BLR,http://www.icetrade.by/tenders/all/view/727450,,
2019-727449,"ОАО ""СТРОЙТРЕСТ № 35""","оборудование 0,4 и 10 кВ. для трансформаторной подстанции",20 808.23,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/727449,,
2019-727448,УО Администрации Московского района г. Минска,Закупка торгово-технологического оборудования для подведомственных учреждений управления по образованию администрации Московского района г.Минска,213 700,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727448,,
2019-727447,ИНСТИТУТ ФИЗИКИ НАН Беларуси,Оптико-механические комплектующие,24 500,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/727447,,
2019-727446,"""Ошмянский сыродельный завод"" филиал ОАО ""Лидский молочно-консервный комбинат""",самоклеящаяся защитная этикетка с переменной информацией и нумерацией,64 800,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727446,,
2019-727445,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №444/19 Лейкопластырь ч.1,0,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/727445,,
2019-727444,"Государственное предприятие ""УКС Столбцовского района""","Выбор  подрядной  организации  для  выполнения  работ  по  объекту  ""Текущий  ремонт  гаражей  Столбцовского  райисполкома,  расположенных  по  адресу: г.Столбцы, ул.Ленинская, д.45А""",51 018,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/727444,,
2019-727443,"РУП ""БЕЛПОЧТА""",Текущий ремонт капитального строения,112 319.42,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727443,,
2019-727442,"УП ""ЖРЭО ЗАВОДСКОГО РАЙОНА Г.МИНСКА""",Выбор подрядной организации на выполнение текущего ремонта в квартире социального использования в 2019 году,5 869,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727442,,
2019-727441,Управление по образованию Оршанского райисполкома,"Услуги по разработке проектно-сметной документации по объекту: ""Капитальный ремонт государственного учреждения образования ""Ясли-сад № 11"" для государственного учреждения образования ""Ясли-сад № 11 г. Орши""",40 000,2019-07-26,BLR,http://www.icetrade.by/tenders/all/view/727441,,
2019-727440,"ОАО ""Беларуськалий""","закупка цепных трасс и цепей для модернизации забойных конвейеров СПЗ, штрековых конвейеров СПШ и забойного конвейера ЕКФ",0,2019-07-18,BLR,http://www.icetrade.by/tenders/all/view/727440,,
