number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-722408,"ОАО ""Борисовдрев""","Закупка заготовок из картона для наружного спичечного коробка, печать 4+0 кр.+выборочный офсетный лак для спичечного цеха ОАО «Борисовдрев».",489 000,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/722408,,
2019-722407,Глусская санаторная школа-интернат для детей с соматической патологией,"Выбор подрядной организации на выполнение ремонтных работ на объекте :"" Текущий ремонт фасада здания учебного и спального корпуса ГУО ""Глусская санаторная школа-интернат для детей с соматической патологией""",27 100,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722407,,
2019-722406,"КУМПП ЖКХ ""Столинское ЖКХ""",закупка материалов для строительства объекта «Модернизация водоводов 1-го подъема водозабора г. Давид-Городок (2-й пусковой комплекс)»,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722406,,
2019-722404,Брестская городская больница №1,Закупка услуг по ремонту эндоскопического оборудования,15 255,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722404,,
2019-722403,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение работ на объекте строительства: «Капитальный ремонт жилого дома № 40 по улице Притыцкого в городе Минске» 1-я очередь строительства в интересах Государственного предприятия «Жилищное коммунальное хозяйство № 2 Фрунзенского района г. Минска», КС331-06/191",1 139 400,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/722403,,
2019-722401,"Учреждение здравоохранения ""Славгородская ЦРБ""",закупка бензина а92,30 000,2019-06-22,BLR,http://www.icetrade.by/tenders/all/view/722401,,
2019-722400,Витебская областная клиническая больница,ВОКБ 33-19 ЭА «Техническое обслуживание и ремонт медицинского оборудования УЗ «Витебская областная клиническая больница» на 2019 г,0,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/722400,,
2019-722399,Белорусско-Российский университет,услуги по вывозу и захоронению коммунальных отходов на второе полугодие 2019 г.,19 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722399,,
2019-722398,"ОАО ""Калинковичский мясокомбинат""","«Зачистка и демонтаж надземных резервуаров РВС-400 и мазутного хозяйства с последующей утилизацией всех имеющихся мазутосодержащих отходов""",0,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/722398,,
2019-722396,"Государственное предприятие ""УКС Воложинского района""","Выбор генерального подрядчика для выполнения работ по сетям электроснабжения, реконструкции ТП на объекте ""Реконструкция здания отделения дневного пребывания для инвалидов ГУ ""Воложинский территориальный центр социального обслуживания населения. 1-я очередь""",36 040,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722396,,
2019-722395,Пинский городской исполнительный комитет,Услуга по разработке проектной документации на уплотнение индивидуальной застройки,14 500,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722395,,
2019-722394,"Унитарное предприятие ""Элект"" ОО ""БелТИЗ""",Закупка комплекта технологического оборудования для обработки термопластичных полимеров,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722394,,
2019-722393,"Государственное предприятие ""УКС Толочинского района""",Выбор подрядной организации (проектировщика) для выполнеия корректировки архитектурного проекта по объекту: «Система капельного орошения сада на площади 120 га для РУП «Толочинский консервный завод»,0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/722393,,
2019-722391,"Отдел идеологической работы, культуры и по делам молодежи Бешенковичского райисполкома",Закупка дров и торфобрикета,11 700,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722391,,
2019-722390,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение работ на объекте строительства: «Замена 4 пассажирских лифтов в жилом доме № 53 корп. 3 по ул. Я. Коласа в г. Минске» в интересах коммунального унитарного предприятия «Жилищное коммунальное хозяйство Советского района г. Минска»,КС199-05/192",96 000,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722390,,
2019-722389,"ОАО ""БЕЛСВЯЗЬСТРОЙ""",автомобиль ГАЗ С42R33 или аналог,74 000,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/722389,,
2019-722388,Департамент охраны Министерства внутренних дел Республики Беларусь,Закупка форменной фурнитуры,27 894.06,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722388,,
2019-722387,"ОАО ""БААЗ""",Услуга лизинга на приобретение токарного станка с ЧПУ (с внутренним диаметром шпинделя 80 мм.)-2 ед.,660 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722387,,
2019-722386,Психоневрологический дом-интернат для престарелых и инвалидов №1,Услуги по техническому обслуживанию и ремонту наружных инженерных систем и внутренних инженерных систем и оборудования зданий дома-интерната,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722386,,
