number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-727758,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение работ на объекте строительства: «Замена пассажирского лифта в жилом доме № 122 по улице Притыцкого в городе Минске» в интересах Государственного предприятия «Жилищное коммунальное хозяйство № 2 Фрунзенского района г. Минска», КС366-06/191",76 000,2019-07-16,BLR,http://www.icetrade.by/tenders/all/view/727758,,
2019-727757,"ООО ""ПлиссаСтрой""","Выполнение работ по прокладке футляра ᴓ 500 из трубы ПЭ SDR 26-315 x 12,1 методом ГНБ (28 метров) по ул. Короткевича (сеть к2) по объекту: «Инженерно-транспортная инфраструктура квартала жилой застройки по Московскому пр-ту до пересечения с ул. Короткевича. 3-я очередь строительства».",0,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/727757,,
2019-727756,НЕСВИЖСКАЯ ЦРБ,Закупка сантехнических изделий,0,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/727756,,
2019-727755,"Учреждение здравоохранения ""Ветковская центральная районная больница""",Дезинфицирующие средства,0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727755,,
2019-727754,"ГО ""Брестмелиоводхоз""",Проектно-изыскательские работы по объектам ремонта (2 объекта) мелиоративных систем в Брестской области,21 378.06,2019-07-29,BLR,http://www.icetrade.by/tenders/all/view/727754,,
2019-727753,Лидская ЦРБ,Закупка автомобиля скорой неотложной медицинской помощи класса В,192 000,2019-07-18,BLR,http://www.icetrade.by/tenders/all/view/727753,,
2019-727752,"ОАО ""Гродно Азот""","закупка ремонтно-строительных работ по объектам: «Смета ПКУ № 422-19. «Цех карбамид-4. Ремонт межступенчатого оборудования отделения компрессии корп. 702 инв. №46043, 46016, 46017»; «Смета ПКУ № 419-19. «Цех карбамид-4. Ремонт аппаратов отделения наружных установок корп. 701/1, 2 инв. №869»; «Смета ПКУ № 392-19. «Цех карбамид-4. Ремонт оборудования насосного отделения. Корпус 701, 704, 713, 705, 710, инв. №146, 196, 869, 164, 195»",0,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/727752,,
2019-727751,"ОАО ""БЗМП""",Закупка борта дорожного и тротуарного,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727751,,
2019-727750,БГТУ,"Закупка работ по объектам «Текущий ремонт аудитории № 336 в учебном корпусе № 4 по адресу г. Минск ул. Свердлова 13а»; «Текущий ремонт аудитории № 114 в учебном корпусе № 4а по адресу г. Минск ул. Свердлова 13а/3»; «Окраска наружного газопровода по адресу г. Минск, ул. Свердлова 13а»",22 177,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727750,,
2019-727749,Отдел по образованию Пинского райисполкома,"Бензин, дизельное топливо",0,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/727749,,
2019-727748,"Филиал ""Минская городская телефонная сеть"" РУП ""Белтелеком""",Закупка вентилятора,20 900,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727748,,
2019-727747,Гомельская городская клиническая больница №4,"Масло растительное, фасовка до 1 кг",0,2019-08-12,BLR,http://www.icetrade.by/tenders/all/view/727747,,
2019-727746,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядной организации на выполнение строительно-монтажных работ на объекте строительства: «Замена 2-х лифтов в жилом доме по адресу: ул. Могилевская, д. 4 корпус 2 в г. Минске» в интересах Государственного предприятия «Жилищное коммунальное хозяйство Октябрьского района г. Минска»,КС312-06/192",44 000,2019-07-16,BLR,http://www.icetrade.by/tenders/all/view/727746,,
2019-727745,НАЦИОНАЛЬНАЯ БИБЛИОТЕКА БЕЛАРУСИ,Сетевой контролер,12 000,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727745,,
2019-727744,Отдел по образованию администрации Первомайского района г. Витебска,Закупка лабораторного оборудование и приборов для кабинета химии,11 650,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/727744,,
2019-727743,"Представительство АО ""НИКИМТ-Атомстрой"" в Республике Беларусь",Поставка ленточнопильного станка HBS-1018W.,373 970.71,2019-07-09,RUS,http://www.icetrade.by/tenders/all/view/727743,,
2019-727742,"Филиал ""Минские тепловые сети"" РУП ""МИНСКЭНЕРГО""",Закупка газоанализаторов,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727742,,
2019-727741,"УП ""БЕЛМЕДТЕХНИКА""",БелМТ №466/19-ПЭА «Кресло операционное»,0,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/727741,,
2019-727740,"ОАО ""БЕЛИНВЕСТБАНК""","Выбор подрядчика на выполнение ремонтно-строительных работ по объекту: «Текущий ремонт административного здания и прилегающей территории по адресу: г.Борисов, ул.Орджоникидзе, 55».",32 638.84,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/727740,,
2019-727739,"""Национальная антидопинговая лаборатория""",Фермент бета-глюкуронидаза,0,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727739,,
2019-727738,Столбцовский лесхоз,закупка машины транспортно-погрузочно лесной МТПЛ-5-11,105 000,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727738,,
2019-727737,"ОАО ""БЕЛСЕЛЬЭЛЕКТРОСЕТЬСТРОЙ""",Благоустройство г.Березино,0,2019-07-12,BLR,http://www.icetrade.by/tenders/all/view/727737,,
2019-727736,"Государственное предприятие ""Минрайтеплосеть""","Выбор проектной организации на выполнение работ по разработке проектно-сметной документации по объекту: «Установка водогрейного котла для нужд горячего водоснабжения в летний период на котельной Петришки, Минского района»",17 262.07,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727736,,
2019-727735,Докшицкая ЦРБ,Закупка мягкого инвентаря на 2019 год,1 086,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/727735,,
2019-727734,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Гомель",МТ 204/19-ЭА «Реагенты и расходные материалы для лабораторий для УЗ ГО»,0,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/727734,,
2019-727733,"ОАО ""Белагропромбанк""",Текущий ремонт хозяйственно-питьевого водопровода и трубопровода водяного пожаротушения дебаркадера,17 915.99,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727733,,
2019-727732,Гомельская городская клиническая больница №4,Сахар-песок,0,2019-08-12,BLR,http://www.icetrade.by/tenders/all/view/727732,,
2019-727731,"Государственное предприятие ""Белаэронавигация""",закупка автомобильных лифтов подачи бортового питания,2 000 000,2019-07-30,BLR,http://www.icetrade.by/tenders/all/view/727731,,
2019-727730,"ОАО ""Бобруйсксельмаш""",Закупка гидроцилиндров,80 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727730,,
2019-727729,"ОАО ""Нефтезаводмонтаж"", г. Новополоцк",запорная арматура для РУП Белорусской АЭС,1,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727729,,
2019-727728,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""","металлургическое сырьё, огнеупоры",1,2019-07-17,BLR,http://www.icetrade.by/tenders/all/view/727728,,
2019-727727,6-я городская клиническая больница,Реагенты и расходные материалы для клинико-диагностической лаборатории,0,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/727727,,
2019-727726,"ГПО ""Горремавтодор Мингорисполкома""","Закупка масел моторных, трансмиссионных, индустриальных, гидравлических",45 000,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/727726,,
2019-727725,"УО ""Центр повышения квалификации руководящих работников и специалистов"" Департамента охраны МВД РБ","Картофель молодой раннеспелый, среднеспелый",45 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727725,,
2019-727724,"РНПЦ ""МАТЬ И ДИТЯ""",диски с антибиотиками для микробиологических исследований,0,2019-07-18,BLR,http://www.icetrade.by/tenders/all/view/727724,,
2019-727723,"РУП ""Медтехника""","МогМТ№98/19-ЭА «Ларингоскопы, отоскопы»",0,2019-08-08,BLR,http://www.icetrade.by/tenders/all/view/727723,,
2019-727722,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Гомель",МТ 208/19-ЭА «Посуда лабораторная из стекла и прочих материалов для ОЗ ГО»,0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/727722,,
2019-727721,"ОАО ""Радиоволна""",Закупка коробов из картона гофрированного,46 009.86,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/727721,,
2019-727720,"РУП ""Медтехника""","МогМТ№99/19-ЭА ""Инструменты и расходные материалы для специальных хирургических вмешательств""",0,2019-07-25,BLR,http://www.icetrade.by/tenders/all/view/727720,,
2019-727719,"РУП ""БЕЛМЕДПРЕПАРАТЫ""",закупка стеклянных флаконов,79 930,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/727719,,
2019-727718,"УП ""Медтехника"" г. Гродно","ГродМТ 185/19-ЭА Лот 1 «Комплект для введения мочеточниковых стентов» для Учреждения здравоохранения г. Гродно и Гродненской области.
Лот № 2 «Набор для нефростомии» для Учреждения здравоохранения г. Гродно и Гродненской области.",0,2019-08-21,BLR,http://www.icetrade.by/tenders/all/view/727718,,
2019-727717,Городской ЦОР по водным видам спорта,"Снаряды, инвентарь и прочее оборудование для занятий физической культурой и спортом",18 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/727717,,
2019-727716,"РУП ""МИНСКЭНЕРГО""",Ремонт кабельных линий 10 кВ с заменой дефектных участков и перемонтажем концевых муфт на ПС «Завод запчастей»,155 485.42,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/727716,,
2019-727714,"Государственное предприятие ""ИК 9""",выбор инженерной организации для оказания инженерных услуг по комплексному управлению строительной деятельностью,2 700,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/727714,,
2019-727713,"УП ""Гроднооблгаз""",Закупка плащей непромокаемых,0,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/727713,,
2019-727712,"РНПЦ ""МАТЬ И ДИТЯ""",Реагенты и расходные материалы к автоматическому биохимическому анализатору,0,2019-07-18,BLR,http://www.icetrade.by/tenders/all/view/727712,,
