number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-723598,Управление образования администрации Октябрьского района г.Минска,"Работы по текущему ремонту санузла в государственном учреждении образования ""Ясли-сад № 491 г. Минск""",20 000,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/723598,,
2019-723597,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",Закупка эмалей ПФ-115  различных цветов и эмалей ПФ-226 половой,227 274,2019-06-23,BLR,http://www.icetrade.by/tenders/all/view/723597,,
2019-724316,"СОАО ""Коммунарка""",Закупка упаковки для новогодних подарков,1 942 590,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724316,,
2019-723698,"НДЦ ""Зубренок""","выполнение строительно-монтажных работ по объекту «Строительство демонстрационного «зеленого дома» (отдельно стоящее здание по системе «Экологически умный дом»), включая комплект солнечных батарей, тепловой насос для инженерного обеспечения здания»",0,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/723698,,
2019-724420,"Лечебно-диагностическое учреждение ""Витебская областная ветеринарная лаборатория""",Закупка генератора азота с компрессором и осушителем воздуха,35 000,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724420,,
2019-724095,10-я городская клиническая больница,Ремонт медицинской техники,0,2019-06-29,BLR,http://www.icetrade.by/tenders/all/view/724095,,
2019-723798,Филиал Вендорож,Средства защиты растений,27 288.80,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/723798,,
2019-723901,"СПК ""Пограничный""",Закупка услуг по техническому обслуживанию сельскохозяйственной техники в 2019 году,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/723901,,
2019-724209,"Отдел по образованию, спорту и туризму Круглянского районного исполнительного комитета",Закупка светильников и ламп.,20 456,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724209,,
2019-724002,"РУП ""Минскэнерго""","Мониторинг вибрационного состояния подшипниковых опор турбоагрегата ТГ-0,75 ст. № 1 Слуцкой мини-ТЭЦ",0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724002,,
2019-723596,Администрация Советского района г.Гомеля,"Текущий ремонт участка проезда в районе комплекса зданий по адресу: г. Гомель ул. Барыкина, 132",15 500,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/723596,,
2019-724315,"ОАО ""Полоцкий комбинат хлебопродуктов""",пластиковые окна ПВХ для взрывоопасных предприятий,30 000,2019-07-25,BLR,http://www.icetrade.by/tenders/all/view/724315,,
2019-723697,"Областной детский ЦМР ""Пуховичи""","Изготовление и установка (монтаж-демонтаж) дымонепроницаемых дверей, противопожарных дверей, люков противопожарных",8 000,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723697,,
2019-724419,"ОАО ""Гродно Азот""",Закупка мебели офисной,0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724419,,
2019-724094,Гомельская областная СДЮШОР № 1,Закупка спортивного инвентаря для проведения учебно-тренировочного процесса спортсменов-учащихся,46 510,2019-07-11,BLR,http://www.icetrade.by/tenders/all/view/724094,,
2019-723797,ОАО «СветлогорскХимволокно»,"Ткань хлопчатобумажная, с отделкой ВО, плотностью 220-270 г/кв.м",92 520,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/723797,,
2019-723900,"Учреждение образования ""Гродненский государственный университет имени Янки Купалы""","Выполнение работ по объекту: «Подключение противопожарного водопровода производственно-лабораторного корпуса по ул.Курчатова, 1А в г. Гродно к центральной системе холодного водоснабжения»",58 656,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/723900,,
2019-724208,"ОАО ""Гомельский жировой комбинат""",Сода каустическая,224 700,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/724208,,
2019-724001,"ОАО ""Нефтезаводмонтаж"", г. Новополоцк",Строп стальной одинарный с амортизатором.,1,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/724001,,
2019-723595,"Государственное предприятие ""УКС Борисовского района""","выбор подрядной (генподрядной) организации на выполнение строительно-монтажных работ по объекту ""Реконструкция привокзальной площади в г. Борисове""",2 688 558.18,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/723595,,
2019-724314,ДОСААФ,Закупка ноутбуков для радиоспорта,28 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724314,,
2019-723696,"ОАО ""Нафтан""",Закупка вакцины против гриппа для иммунизации работников ОАО «Нафтан» (повтор),36 500,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723696,,
2019-724418,"Глусское УКП ""Жилкомхоз""","Выбор инженерной организации на оказание услуг по техническому надзору и руководитель (управляющий) проектом дома Кирова 19, 35",7 146,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724418,,
2019-724093,"ЧПТУП ""Импульс""","МДФ, ламинат, плинтус",0,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/724093,,
2019-723796,"Государственное предприятие ""Жилищное коммунальное хозяйство Ленинского района г. Минска""",выбор подрядной организации для выполнения работ по текущему ремонту мест общего пользования (подъездов) жилых домов: № 4 под. № 4 по ул. Козыревской; № 15  под. № 2 по ул. Козыревской;   № 2  под. № 5 по ул. Рыбалко; № 17 под.  № 2 по ул. Володарского в г. Минске,24 847.50,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/723796,,
2019-723899,"УП ""Лунинецкая ПМК-19""","Закупка окон, балконных дверей и остекления лоджий без монтажа",91 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/723899,,
2019-723898,"Государственное предприятие ""Лидская ПМК-169""",Плиты теплоизоляционные из минеральной ваты,0,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723898,,
2019-724206,Червенская ЦРБ,Закупка  брикетов торфяных и дров колотых и длинномеров,0,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724206,,
2019-724000,Полоцкая центральная городская больница,закупка сметаны 20% п/п,7 524,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724000,,
2019-723999,Минздрав,Повышение квалификации по вопросам охраны труда руководителей и специалистов организаций системы Минздрава,60 000,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723999,,
2019-723594,"РУП ""Могилевское отделение Белорусской железной дороги""",Закупка работ по капитальному ремонту дрезины ДГКу №3240 Осиповичской дистанции пути,0,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/723594,,
2019-724313,"Открытое акционерное общество ""Гомельский домостроительный комбинат""",Закупка шпатлевки полимерцементной финишной серой,105 925,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724313,,
