country,customer,deadline,description,number,price,url_addr
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2019-07-15,закупка фильтров,2019-730683,31 640,http://www.icetrade.by/tenders/all/view/730683
BLR,"Государственное предприятие ""Белаэронавигация""",2019-07-19,закупка работ по ремонту и восстановлению работоспособности изделий из состава систем посадки,2019-730681,34 166,http://www.icetrade.by/tenders/all/view/730681
BLR,"СП ОАО ""Спартак""",2019-07-30,Закупка какао-бобов целых сырых,2019-730680,9 710 553,http://www.icetrade.by/tenders/all/view/730680
BLR,"Филиал ""Минская городская телефонная сеть"" РУП ""Белтелеком""",2019-07-24,Выполнение пусконаладочных работ,2019-730679,7 015.20,http://www.icetrade.by/tenders/all/view/730679
BLR,"ОАО ""Управляющая компания холдинга ""Бобруйскагромаш""",2019-08-08,Закупка горизонтального обрабатывающего центра,2019-730678,840 000,http://www.icetrade.by/tenders/all/view/730678
BLR,"ОАО ""Беларуськалий""",2019-08-05,Закупка гаражного оборудования,2019-730677,12,http://www.icetrade.by/tenders/all/view/730677
BLR,"ОАО ""Гродненский мясокомбинат""",2019-07-16,"закупка калитки, проходной, контроллера и сетевых накопителей",2019-730676,16 428,http://www.icetrade.by/tenders/all/view/730676
BLR,"ОАО ""ИНТЕГРАЛ"" - управляющая компания холдинга ""ИНТЕГРАЛ""",2019-07-17,Закупка бумажной продукции,2019-730675,56 730,http://www.icetrade.by/tenders/all/view/730675
BLR,"Государственное предприятие ""УКС Минского района""",2019-08-09,Выбор генеральной подрядной организации для строительства объекта: «Водоснабжение района индивидуальной застройки п. Колодищи-2 (полигон) Минского района. 2-я очередь»,2019-730674,2 651 089.14,http://www.icetrade.by/tenders/all/view/730674
BLR,"ОАО ""МИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",2019-07-16,"Закупка плиты пенополистирольной ППТ-35А для комплектации объекта «Капитальный ремонт кровли, наружных стен с тепловой модернизацией и заменой окон ГУО «Средняя школа № 199 г.Минска» по ул. Панченко, 32»",2019-730673,30 000,http://www.icetrade.by/tenders/all/view/730673
BLR,"Филиал ""Минская городская телефонная сеть"" РУП ""Белтелеком""",2019-07-24,Закупка пусконаладочных работ,2019-730672,1 551.60,http://www.icetrade.by/tenders/all/view/730672
BLR,"Государственное предприятие ""Центр информационных технологий Мингорисполкома""",2019-07-17,закупка услуг по доставке извещений,2019-730671,11 013.84,http://www.icetrade.by/tenders/all/view/730671
